qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
qt6-websockets 6.10.2-1
raptor 2.0.16-9
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
rebuild-detector 4.4.5-1
reflector 2023-5
reflector-simple 2025.10-1
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rpcbind 1.2.8-1
rsync 3.4.1-2
rtkit 0.14-1
rtmpdump 1:2.6-1
rubberband 4.0.0-1
runc 1.4.0-1
rust 1:1.93.1-1
rust-bindgen 0.72.1-1
s-nail 14.9.25-1
samba 2:4.23.5-1
sbc 2.2-1
sd 1.1.0-1
sddm 0.21.0-6
sddm-kcm 6.6.1-1
sdl2-compat 2.32.64-1
sdl3 3.4.2-1
sed 4.9-3
semver 7.7.4-1
serd 0.32.8-1
sg3_utils 1.48-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
signon-kwallet-extension 25.12.2-1
